,FOS_Mean,FOS_Variance,FOS_Median,FOS_Mode,FOS_Skewness,FOS_Kurtosis,FOS_Energy,FOS_Entropy,FOS_MinimalGrayLevel,FOS_MaximalGrayLevel,FOS_CoefficientOfVariation,FOS_10Percentile,FOS_25Percentile,FOS_75Percentile,FOS_90Percentile,FOS_HistogramWidth,Label
5825,47.684258,362.24844,42.0,34.0,0.7424084,2.6231742,0.023862205,4.0605283,19.0,119.0,0.13590944,26.0,33.0,61.0,77.0,51.0,0
284,170.17828,216.90016,168.0,165.0,0.36323318,3.0453937,0.02112891,4.0358453,76.0,220.0,0.076164134,152.0,159.0,178.0,190.0,38.0,1
2153,110.72412,171.90437,110.0,112.0,0.26188055,3.030934,0.024318965,3.9325123,71.0,163.0,0.0947227,94.0,101.0,119.0,127.0,33.0,0
5968,104.1093,650.91034,106.0,112.0,-0.12356236,2.366313,0.012300528,4.577106,29.0,214.0,0.09889251,68.0,82.0,122.0,136.0,68.0,0
259,109.24442,470.2944,107.0,112.0,0.5476552,3.4432704,0.0150577165,4.4257283,54.0,196.0,0.09468749,83.0,93.0,121.0,137.0,54.0,1
5141,156.81993,474.74957,159.0,163.0,-0.7720952,3.789534,0.014178884,4.4137735,30.0,207.0,0.080407634,127.0,143.0,173.0,182.0,55.0,1
3488,120.35907,410.31097,119.0,112.0,0.0639264,2.905353,0.015873943,4.3692646,62.0,188.0,0.09063473,92.0,108.0,132.0,147.0,55.0,0
623,197.06844,1026.2079,207.0,214.0,-2.045848,6.922072,0.019434502,4.310636,43.0,230.0,0.073007606,150.0,192.0,216.0,222.0,72.0,1
2157,16.23131,154.55055,11.0,4.0,1.0114443,3.2435079,0.12136693,2.9264593,3.0,63.0,0.204335,4.0,4.0,24.0,35.0,31.0,0
91,203.97546,135.32639,206.0,211.0,-1.2769122,4.5494156,0.031797215,3.6702347,146.0,226.0,0.07036484,188.0,197.0,211.0,216.0,28.0,1
3824,107.38913,334.3329,112.0,114.0,-1.0310829,3.579478,0.022563333,4.130076,38.0,151.0,0.098548196,80.0,97.0,119.0,126.0,46.0,0
5634,132.90672,268.25122,132.0,114.0,-0.15226446,3.8253615,0.018763099,4.1603913,48.0,217.0,0.086445026,114.0,121.0,144.0,154.0,40.0,0
2411,44.774323,339.9682,44.0,23.0,0.27822512,2.1778545,0.019742634,4.139785,10.0,111.0,0.14814852,22.0,27.0,59.0,70.0,48.0,0
