,0,1,2,3,4,5,6,Label
185,2.7366657,7.212607,9.678964,10.045742,-20.198357,-13.691685,19.974276,0
186,2.7913876,8.641658,11.29081,11.427946,-23.843044,-16.980394,22.789011,0
187,2.9310205,8.372572,11.157106,11.160625,-23.334974,15.35637,-22.321522,1
188,2.5413094,6.496699,8.930009,8.993068,17.955366,13.130154,19.183065,0
189,2.9037294,10.550918,11.806804,11.540172,-23.24062,-17.666605,23.680014,0
190,2.6541455,9.346382,11.251686,11.043602,22.209295,-16.36684,-22.74035,0
191,2.5824254,7.3818536,9.335536,9.403722,-18.840906,-13.120773,19.059795,0
192,2.8681378,8.801724,12.790322,11.912708,-24.669876,16.453989,24.300646,0
193,2.980696,9.92169,12.710476,12.864705,26.567793,-17.830488,-25.655523,1
194,2.799378,7.101518,9.873232,10.835059,21.618015,-14.738781,-21.221653,0
195,2.8561785,7.1582155,10.035024,10.601261,-20.940994,-14.504233,-21.431364,1
196,2.886377,7.8394275,10.687175,10.786875,21.83124,-14.992608,-21.584307,0
197,2.6573188,7.687799,9.514086,9.480983,-19.084044,-13.363855,19.185846,0
198,2.7632682,8.986957,10.58108,10.674891,21.574198,-15.174048,-21.376226,1
199,2.8937523,8.248899,10.899089,11.639029,-22.908663,-15.825861,-24.196445,1
200,2.8060646,7.42483,10.284255,10.861427,-22.00581,-14.713272,21.450478,0
201,2.8347156,8.208191,11.398533,10.275721,-21.720745,14.558504,21.126478,1
202,2.4385035,7.578596,8.840209,8.518297,17.826551,-12.647715,17.20988,0
203,2.648978,7.187109,9.2757,8.984267,-19.040483,-12.748058,-18.117323,0
204,2.5603874,6.27829,8.698347,8.475222,-17.90811,-12.043229,-17.066462,0
205,3.0130486,8.151105,11.94123,13.024963,-26.613188,-17.154917,-25.509401,0
206,2.8616152,9.629441,11.898928,12.084343,-24.17594,-17.093351,-24.29251,0
207,2.7021255,7.5852304,10.417067,10.030491,20.44155,-13.857303,20.373352,0
208,2.7584922,7.6851664,9.980653,10.935135,21.5511,-14.929214,-21.536243,1
209,3.0503953,9.007669,11.660361,12.011949,-24.155582,-16.516867,-23.908466,0
210,2.9409132,7.380708,12.079426,11.74566,-23.760841,-15.45187,23.870228,1
211,2.8869028,8.840119,11.38264,12.17789,-24.047873,16.750074,24.19341,0
212,2.689743,8.011533,9.739451,10.058343,-21.02157,-14.164227,19.95886,0
213,2.6671462,6.8240094,8.870261,9.325628,-18.432161,-12.780417,-19.1293,0
214,2.5436418,6.947627,8.89308,8.348952,17.648434,12.143472,16.97973,0
215,2.9299102,12.20463,12.023301,13.037388,25.607018,19.296963,-25.958334,1
216,2.8011682,9.345407,11.266362,11.28264,22.585033,-16.010403,-23.016577,0
217,2.7648082,9.1409855,12.359222,11.817469,24.03862,16.397442,-24.075611,0
218,2.8193877,9.44928,11.495962,12.101618,24.586699,-16.99008,23.909817,1
219,2.831566,8.880165,11.495414,11.834906,-23.682526,16.278913,23.622736,0
220,2.9229102,9.682104,11.69657,11.420443,23.018503,-16.57534,-23.3682,0
221,2.7165403,7.6066236,9.755618,9.79852,-19.73314,-13.61434,-19.71929,0
222,2.7855344,8.65731,11.835384,11.319059,22.913061,15.73499,-23.460604,0
223,2.3666854,6.706122,9.632927,8.100884,17.484085,11.4577465,-16.988932,0
224,2.8534489,8.570052,12.017469,11.873501,-23.822792,-16.187992,24.699032,0
225,2.4993885,7.170029,8.812492,8.651542,-17.594667,12.797352,17.48675,0
226,2.5825267,7.530236,9.324816,9.308914,-18.703678,-13.1912985,18.886179,0
227,2.5378163,7.1676474,9.165874,9.129253,18.277372,-12.733934,19.572882,0
228,2.745432,8.747253,10.793399,10.790754,22.104492,-15.167662,21.603432,0
229,2.7882242,7.8886604,10.290549,11.168749,21.905624,-15.648004,22.640932,0
230,2.9509938,9.685753,12.201402,11.973703,24.251165,16.818356,-24.178436,1
231,2.735832,8.003353,10.715363,11.14931,-22.09325,15.204922,-22.72348,0
232,2.9942987,7.636178,10.299092,11.225325,-22.01809,-15.043872,-22.428461,0
233,2.4147537,6.29695,8.587519,8.476908,18.571653,11.748286,17.009285,0
234,2.4852269,7.373619,9.050045,8.542808,-18.022673,12.469103,17.34877,0
235,1.7733968,4.64283,8.011075,5.9257236,-13.890845,8.248325,12.896338,0
236,2.9782495,9.66085,12.028571,11.752375,-23.805359,-16.582947,-23.781994,0
237,2.9090433,9.263841,11.493116,11.73395,23.414515,-16.52869,-23.63537,0
238,2.868905,9.522301,12.2402315,12.88797,-25.549316,-17.923126,25.673325,1
239,2.495347,7.0378003,9.32584,8.444263,-17.999985,12.132977,17.339443,0
240,2.9343064,9.618233,12.207431,12.842135,-25.56767,18.600058,-25.476662,1
