,LTE_LL_5,LTE_EE_5,LTE_SS_5,LTE_LE_5,LTE_ES_5,LTE_LS_5,Label
640,6829.376,70.65634,25.266867,335.39142,40.655655,140.37465,1
5055,4824.955,52.880245,18.805256,230.2684,30.51406,105.77561,0
5618,10423.949,55.637657,19.732166,274.6673,31.840248,110.0139,0
3843,8716.728,51.227806,18.778996,241.39584,29.836855,100.04788,0
1852,5755.703,66.06315,23.30456,292.46167,37.940926,132.6699,0
4871,4806.5454,65.115135,23.119986,272.4816,37.81439,131.72205,0
453,11602.603,65.00559,22.295017,319.36926,36.14546,129.0322,1
1235,2863.4102,73.27075,25.0039,317.77368,41.446835,146.1671,0
5095,9297.908,57.324696,18.962532,277.07913,31.68985,115.2883,0
1409,15705.111,50.47596,17.841112,282.98062,28.565596,99.800316,0
308,5919.8335,84.12914,28.765995,385.9048,46.872074,161.42365,1
2495,5441.6978,61.49923,22.210049,250.51395,35.747593,118.1578,0
4111,5731.3027,77.15895,27.072546,363.70474,44.143665,152.37091,0
4318,10758.14,53.538498,19.028933,285.0684,30.580156,103.42914,0
871,4897.1406,63.02004,20.124529,311.38437,33.971973,119.99811,0
4880,3157.6052,61.422,22.743383,232.02934,36.540417,120.30069,0
5277,9011.861,41.664406,15.935967,163.39682,25.043238,83.127655,0
1166,5227.4434,50.507885,17.063835,212.78946,28.508566,98.48126,0
4786,2860.1465,67.0387,23.312197,293.20648,38.360912,132.96593,0
1984,7785.1514,56.675114,19.570354,249.4025,32.242146,114.133736,0
1088,7541.3193,65.559654,20.762447,364.84216,34.753716,129.44615,0
5695,13806.613,42.752598,15.427833,221.18796,24.769745,85.7675,0
3101,10532.02,57.153835,20.912115,241.41222,33.703682,112.67932,0
3481,11460.31,81.18301,33.35156,355.98785,50.17155,163.55127,0
5587,4819.159,68.613594,23.681372,316.7285,38.86478,134.29018,0
5000,3492.5007,72.21684,23.862638,315.58624,40.063946,141.4376,0
4845,5634.357,71.361626,26.161171,327.07507,41.813652,140.99385,0
5226,8682.655,58.671116,21.37028,261.44397,34.420494,114.63444,0
6051,3981.7803,52.236694,15.996007,283.17953,27.637138,110.76529,0
1905,8411.869,32.68416,10.929041,167.06508,18.06434,68.10458,0
336,4530.776,70.37366,19.904673,347.72275,34.84483,125.02694,1
1713,5308.038,72.104416,24.349937,344.78918,40.237545,141.3572,0
979,5696.9453,23.17214,9.977783,97.13015,14.88009,47.273235,0
638,7753.012,66.656586,20.573027,315.02362,35.539616,130.16045,1
5749,8660.778,33.517345,10.82975,187.142,18.005638,68.867226,0
5843,1837.5082,19.041756,8.929994,60.499916,12.981778,38.912548,0
1943,4004.9756,57.83529,18.825993,238.73131,31.71632,109.422035,0
1524,9196.254,45.019447,18.967918,197.77412,28.659033,93.259674,0
2632,3143.5103,44.14413,17.016315,187.26962,26.517199,87.70081,0
16,3900.2197,59.740833,19.66503,275.09055,33.102615,117.82337,1
